date,open,high,low,close,volume,ATR,LC,VID,RC,LONG,DIFF,DEA,LON,LLL,V2,V3,V4,V5,V6,buy_signal,sell_signal,position,cash,stock_holding,total_asset,daily_return,strategy_return,cumulative_max,drawdown
2020-10-19,25.9,25.95,25.49,25.53,232050016.0,,,,,,,,,,,,,,,0,0,0,,,,,,,
2020-10-20,25.71,26.89,25.61,26.64,643280000.0,,25.53,6252357.257142847,6940116.555428557,6940116.555428557,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,,,,
2020-10-21,26.65,27.25,26.35,26.59,447829920.0,,26.64,6653109.26829268,-332655.46341463877,6607461.092013918,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-22,26.5,27.16,26.2,27.13,515292704.0,,26.59,9172596.419047613,4953202.066285703,11560663.158299621,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-23,27.02,27.15,26.3,26.48,393706880.0,,27.13,9468745.666666659,-6154684.683333315,5405978.474966306,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-26,26.3,26.79,25.7,26.67,311585344.0,,26.48,4864084.3034482775,924176.0176551789,6330154.492621485,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-27,26.8,27.68,26.8,27.39,684055424.0,,26.67,5028488.727272726,3620511.883636357,9950666.376257842,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-28,27.39,28.5,27.28,28.36,1014548288.0,,27.39,9991786.541176474,9692032.944941169,19642699.32119901,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-29,27.98,28.58,27.72,27.83,689963712.0,,28.36,13111630.769230798,-6949164.307692338,12693535.013506673,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-10-30,27.99,28.69,27.72,27.89,633056832.0,,27.83,13639387.051546358,818363.2230928125,13511898.236599486,,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-02,27.9,28.61,27.06,27.48,700752896.0,,27.89,8182881.766871152,-3354981.5244171736,10156916.712182313,10280008.943307523,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-03,27.52,27.76,26.83,27.59,494349536.0,,27.48,6714058.606741569,738546.4467415687,10895463.158923881,10675543.603657054,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-04,27.59,30.35,27.4,30.35,2752448000.0,,27.59,9223856.636363627,25457844.316363625,36353307.475287504,13650128.241984412,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-05,31.49,33.39,31.27,33.39,2744718336.0,1.2964285714285717,30.35,9177239.292153586,27898807.44814689,64252114.92343439,18919273.41849789,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-06,34.5,34.88,31.78,32.91,2638144000.0,1.485,33.39,14910975.999999989,-7157268.4800000535,57094846.443434335,24088160.215344694,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-09,33.02,33.37,31.62,32.24,2033975168.0,1.512857142857143,32.91,14331653.889570545,-9602208.106012188,47492638.33742215,28204408.599824756,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-10,32.23,32.24,30.51,30.56,1636544768.0,1.5721428571428573,32.24,12833985.790209807,-21561096.127552517,25931542.20986963,29802496.183185935,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-11,30.5,31.15,29.9,30.05,1230511744.0,1.592857142857143,30.56,12252378.25641024,-6248712.910769198,19682829.299100433,29806509.18097608,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-12,30.15,30.29,29.55,30.29,968930432.0,1.5850000000000002,30.05,13746513.60000002,3299163.263999983,22981992.563100416,30835354.935935456,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-13,30.0,30.13,28.83,29.19,1064016000.0,1.6114285714285717,30.29,13924290.630136978,-15316719.693150645,7665272.869949771,30250692.399270482,,,,,,,,,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-16,29.33,31.46,29.0,31.25,1917258880.0,1.7150000000000003,29.19,11335645.931558926,23351430.619011372,31016703.488961145,32336671.076948363,21308340.010127943,11028331.06682042,,11028331.06682042,11028331.06682042,11028331.06682042,11028331.06682042,11028331.06682042,0,0,0,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0
2020-11-17,30.76,30.93,30.23,30.8,950537856.0,1.700714285714286,31.25,11657710.308943085,-5245969.639024381,25770733.849936765,33824198.146049656,22249870.874853354,11574327.271196302,,11574327.271196302,11392328.536404341,11270996.046543034,11190107.719968831,11136182.16891936,1,0,0,20012.399999999994,79987.6,100000.0,0.0,100000.0,100000.0,0.0
2020-11-18,30.51,32.34,30.51,31.29,1113616384.0,1.770000000000001,30.8,9782721.516587665,4793533.543127941,30564267.393064708,33245294.137827374,23447711.189905893,9797582.947921481,,9797582.947921481,10481045.342985565,10819595.644510195,10978386.533992467,11046013.23467542,0,1,0,101272.53,0.0,101272.53,0.01272530000000005,101272.53,101272.53,0.0
2020-11-19,30.86,31.58,30.02,31.18,705334784.0,1.8121428571428573,31.29,7840306.758620677,-862433.74344827,29701833.64961644,29790266.010445576,24354769.714471735,5435496.295973841,,5435496.295973841,7790085.851245979,9203857.088102613,10031970.829517877,10505190.618591396,0,1,0,101272.53,0.0,101272.53,0.0,101272.53,101272.53,0.0
2020-11-20,31.18,31.48,30.68,30.85,668354816.0,1.758571428571429,31.18,8805702.56410257,-2905881.846153833,26795951.803462606,26760376.546448406,25424268.38089655,1336108.1655518562,,1336108.1655518562,4459000.594113529,6754898.8976566335,8340578.864686268,9387971.648833912,0,1,0,101272.53,0.0,101272.53,0.0,101272.53,101272.53,0.0
2020-11-23,30.7,30.7,29.82,30.34,724781888.0,1.7657142857142858,30.85,8392389.78313253,-4280118.789397604,22515833.014065,24262696.01411269,26233552.306968726,-1970856.2928560376,,-1970856.2928560376,1193041.5404147014,3929828.493978192,6100197.724009151,7717991.242573716,0,1,0,101272.53,0.0,101272.53,0.0,101272.53,101272.53,0.0
2020-11-24,30.33,30.33,29.12,29.42,902846016.0,1.6421428571428571,30.34,10301442.430379758,-9477327.035949359,13038505.978115642,22973392.39093729,26387944.287061613,-3414551.896124322,,-3414551.896124322,-1128895.3094947278,1380550.3567949883,3721792.75155477,5704158.932138971,0,1,0,101272.53,0.0,101272.53,0.0,101272.53,101272.53,0.0
2020-11-25,29.42,29.49,28.0,28.13,1043015552.0,1.5314285714285714,29.42,8351337.201716744,-10773224.990214624,2265280.987901019,21231637.55981735,25519073.370396715,-4287435.810579363,,-4287435.810579363,-2714358.776705839,-674933.4435505251,1514808.622247014,3601269.3648206554,0,1,0,101272.53,0.0,101272.53,0.0,101272.53,101272.53,0.0
2020-11-26,28.11,28.35,27.9,28.21,443549568.0,1.342142857142857,28.13,9349466.163522013,747957.2930817782,3013238.280982797,19234762.13160559,25035058.533770524,-5800296.402164932,,-5800296.402164932,-4260347.0978751695,-2471148.5032513253,-482070.0942453048,1555604.1955038535,0,1,0,101272.53,0.0,101272.53,0.0,101272.53,101272.53,0.0
2020-11-27,28.15,28.35,27.94,28.31,326852288.0,1.2464285714285717,28.21,17120041.244444337,1712004.1244443972,4725242.405427194,18940759.085153334,24595725.742211908,-5654966.657058574,1804373.8688680672,-5654966.657058574,-4958338.509704987,-3715959.14186743,-2100595.208988734,-274282.5054738638,1,0,0,20277.619999999995,80994.91,101272.53,0.0,101272.53,101272.53,0.0
2020-11-30,28.3,28.32,27.66,27.66,538937024.0,1.1700000000000002,28.31,12547671.188405775,-8155986.272463735,-3430743.867036541,15496014.349553565,23916342.713250965,-8420328.3636974,-140492.07418371495,-8420328.3636974,-6690179.061970855,-5203795.584557174,-3652953.3841631757,-1964443.218604228,0,1,0,99412.87999999999,0.0,99412.87999999999,-0.018362827511073432,99412.87999999999,101272.53,-0.018362827511073432
2020-12-01,28.0,28.92,27.9,28.67,693535488.0,1.170714285714286,27.66,9781527.87301586,9879343.151746035,6448599.284709494,13563800.893030833,23693999.519540243,-10130198.62650941,-2310944.6639542864,-10130198.62650941,-8410608.871048989,-6807593.780096915,-5230658.76410757,-3597949.7966728103,0,1,0,99412.87999999999,0.0,99412.87999999999,0.0,99412.87999999999,101272.53,-0.018362827511073432
2020-12-02,28.7,28.99,28.38,28.6,527712704.0,1.1614285714285717,28.67,11204111.85321101,-784287.8297247739,5664311.45498472,11073805.299222838,22159549.718525104,-11085744.419302266,-4399277.400676661,-11085744.419302266,-9748339.94242555,-8278146.372075683,-6754588.5946822725,-5176461.885141466,0,1,0,99412.87999999999,0.0,99412.87999999999,0.0,99412.87999999999,101272.53,-0.018362827511073432
2020-12-03,28.6,29.31,28.5,29.02,500382240.0,1.1150000000000002,28.6,11054784.344086025,4643009.42451611,10307320.879500829,9134354.022211276,19462310.016328428,-10327955.994117152,-5975622.6296857605,-10327955.994117152,-10038165.657829177,-9158209.729756976,-7956472.519392763,-6566552.046637323,1,0,0,19898.079999999987,79514.8,99412.87999999999,0.0,99412.87999999999,101272.53,-0.018362827511073432
2020-12-04,28.85,29.38,28.79,29.33,429100608.0,0.9814285714285716,29.02,10562305.090909103,3274314.5781818083,13581635.457682637,7812922.387633279,17286649.467040844,-9473727.079407565,-7056606.154181702,-9473727.079407565,-9755937.755706318,-9457082.863615857,-8706800.589699816,-7636708.976766291,1,0,0,19898.079999999987,80364.2,100262.27999999998,0.008544164498604179,100262.28,101272.53,-0.00997555803138328
2020-12-07,29.19,29.65,28.79,29.2,453461504.0,0.97,29.33,10262350.13953489,-1334105.5181395255,12247529.939543111,6786092.08018109,15524394.04714689,-8738301.9669658,-7733350.721592678,-8738301.9669658,-9247112.097272668,-9352095.878470002,-9029453.15737238,-8333091.69302631,1,0,0,19898.079999999987,80008.0,99906.07999999999,-0.0035526820255832314,99906.08,101272.53,-0.013492800071253197
2020-12-08,29.17,30.07,29.15,29.53,535735200.0,0.905,29.2,7728099.2499999935,2550272.752500012,14797802.692043124,6962021.751573838,14967707.071255565,-8005685.319681726,-8192464.06394842,-8005685.319681726,-8626393.97277373,-8989242.157267671,-9009347.503926063,-8671222.17820706,1,0,0,19898.079999999987,80912.2,100810.27999999998,0.009050500229815794,100810.27999999998,101272.53,-0.00456441643158334
2020-12-09,29.4,29.57,28.43,28.59,499760032.0,0.8750000000000002,29.53,6313995.317073168,-5935155.598048787,8862647.093994338,7621758.36218317,14426697.96100026,-6804939.59881709,-8444214.442772191,-6804939.59881709,-7715663.311633647,-8352450.305282522,-8680897.65166754,-8676059.933391873,1,0,0,19898.079999999987,78336.6,98234.68,-0.02554898171099207,98234.68,101272.53,-0.02999678195064348
2020-12-10,28.3,28.74,28.2,28.67,307556448.0,0.8564285714285715,28.59,5892821.021897805,471425.6817518353,9334072.775746174,8253841.811659507,13744301.97163255,-5490460.159973042,-8413230.818553003,-5490460.159973042,-6603059.613680203,-7477753.291129209,-8079324.323988311,-8377691.559597582,1,0,0,19898.079999999987,78555.8,98453.87999999999,0.00223139119504423,98453.87999999998,101272.53,-0.02783232531072366
2020-12-11,28.51,28.77,27.7,28.1,561692032.0,0.8592857142857143,28.67,8123817.570093456,-4630576.014953272,4703496.760792902,8251667.247196078,13596213.166174706,-5344545.918978628,-8382188.744745007,-5344545.918978628,-5973802.166222749,-6725777.011535515,-7402550.022339643,-7890120.32598445,1,0,0,19898.079999999987,76994.0,96892.07999999999,-0.015863265114589686,96892.07999999999,101272.53,-0.043254078870153756
2020-12-14,28.14,29.45,28.04,29.02,554497152.0,0.872857142857143,28.1,6378223.908571429,5867965.995885703,10571462.756678604,9651887.909567593,12573951.129560579,-2922063.219992986,-7832362.230374565,-2922063.219992986,-4447931.965516257,-5586853.945445048,-6494701.55099646,-7192410.605796535,1,0,0,19898.079999999987,79514.8,99412.87999999999,0.026016574316497287,99412.87999999998,101272.53,-0.018362827511073543
2020-12-15,29.18,29.74,28.82,29.56,655961216.0,0.8321428571428573,29.02,7120343.341176473,3844985.404235289,14416448.160913892,10448672.797188032,12006236.845109435,-1557564.0479214024,-6975098.772515764,-1557564.0479214024,-3002747.6621600417,-4294800.495752997,-5394750.761126024,-6293580.469163476,1,0,0,19898.079999999987,80994.4,100892.47999999998,0.014883383320149157,100892.47999999997,101272.53,-0.0037527451916135046
2020-12-16,29.44,29.54,28.95,29.27,459411680.0,0.8435714285714285,29.56,12123618.434782634,-3515849.3460869533,10900598.81482694,10972301.533172255,11023053.416197548,-50751.88302529231,-5871599.518888068,-50751.88302529231,-1526749.5966399861,-2910774.8812077814,-4152762.6731103845,-5223171.443534231,1,0,0,19898.079999999987,80199.8,100097.87999999999,-0.007875710855754448,100097.87999999999,101272.53,-0.011598900511323396
2020-12-17,29.15,30.49,29.1,30.37,1266235392.0,0.9135714285714284,29.27,11205500.467532475,12326050.514285738,23226649.32911268,12264234.37813344,10699294.20017236,1564940.1779610813,-4682309.901680245,1564940.1779610813,19095.38280008838,-1445839.661886903,-2799301.0868260465,-4011236.1929431683,1,0,0,19898.079999999987,83213.8,103111.87999999999,0.030110527815374377,103111.88,103111.88,0.0
2020-12-18,30.2,30.58,29.75,30.03,661720128.0,0.9257142857142852,30.37,13026726.486486513,-4429087.005405413,18797562.323707268,12785827.064735904,10299374.726184592,2486452.3385513127,-3486291.9598843576,2486452.3385513127,1252773.8974421853,-96532.84200988204,-1447916.9241435777,-2729576.520346938,1,0,0,19898.079999999987,82282.2,102180.27999999998,-0.009034846421188347,102180.27999999998,103111.88,-0.00903484642118857
2020-12-21,30.0,30.2,29.62,30.07,544590464.0,0.8771428571428564,30.03,12565735.33333337,502629.4133333241,19300191.73704059,13491093.244485652,10138592.66233337,3352500.582152283,-2277211.704972549,3352500.582152283,2302637.255441417,1103052.224590978,-172432.3307700984,-1451004.4065063093,1,0,0,19898.079999999987,82391.8,102289.87999999999,0.0010726140112358173,102289.87999999999,103111.88,-0.007971923312813378
2020-12-22,29.9,30.45,29.38,29.46,699776128.0,0.9099999999999994,30.07,11629594.317757007,-7094052.533831768,12206139.203208823,13231926.89560222,10096974.32358803,3134952.5720141903,-1163147.9158029573,3134952.5720141903,2718794.91682842,1910923.5767288096,869245.6307404612,-290879.37923931907,0,1,0,100618.48,0.0,100618.48,-0.0163398373328818,100618.48,103111.88,-0.024181500715533488
2020-12-23,29.32,29.36,28.7,29.2,579850048.0,0.906428571428571,29.46,7312149.577142857,-1901158.8900571542,10304980.313151669,13376160.217517953,10498959.289850561,2877200.9276673924,-194933.8631545091,2877200.9276673924,2797997.92254296,2354460.7512881896,1611853.193780754,660486.910814833,0,1,0,100618.48,0.0,100618.48,0.0,100618.48,103111.88,-0.024181500715533488
2020-12-24,29.25,29.35,27.9,28.11,650984448.0,0.9678571428571426,29.2,8430373.260273967,-9189106.853698622,1115873.4594530463,12554340.28588864,10404091.048774075,2150249.2371145654,569137.0765542516,2150249.2371145654,2474123.5792254996,2414292.165368289,2013072.680321851,1336779.7968280357,0,1,0,100618.48,0.0,100618.48,0.0,100618.48,103111.88,-0.024181500715533488
2020-12-25,28.02,28.43,27.77,28.1,459729376.0,0.9535714285714284,28.11,7029834.3291139165,-70298.34329112517,1045575.1161619212,12188548.121425543,10220107.684310813,1968440.4371147305,1300435.7121635876,1968440.4371147305,2221282.0079346383,2317787.0865615862,2165429.8835836127,1751104.8405916945,0,1,0,100618.48,0.0,100618.48,0.0,100618.48,103111.88,-0.024181500715533488
